sequence_number,naics_code,naics_title,sector_code,sector_name,prompt,response,prompt_tokens,completion_tokens,total_tokens
89,1129,Other Animal Production,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1129 - Other Animal Production

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
99,1131,Timber Tract Operations,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1131 - Timber Tract Operations

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
102,1132,Forest Nurseries and Gathering of Forest Products,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1132 - Forest Nurseries and Gathering of Forest Products

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
105,1133,Logging,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1133 - Logging

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",487,10,497
109,1141,Fishing,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1141 - Fishing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",487,18,505
114,1142,Hunting and Trapping,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1142 - Hunting and Trapping

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
118,1151,Support Activities for Crop Production,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1151 - Support Activities for Crop Production

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",491,18,509
126,1152,Support Activities for Animal Production,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1152 - Support Activities for Animal Production

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",490,18,508
129,1153,Support Activities for Forestry,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1153 - Support Activities for Forestry

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
134,2111,Oil and Gas Extraction,21,"Mining, Quarrying, and Oil and Gas Extraction","NAICS Code: 2111 - Oil and Gas Extraction

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",490,16,506
140,2121,Coal Mining,21,"Mining, Quarrying, and Oil and Gas Extraction","NAICS Code: 2121 - Coal Mining

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",487,16,503
144,2122,Metal Ore Mining,21,"Mining, Quarrying, and Oil and Gas Extraction","NAICS Code: 2122 - Metal Ore Mining

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",489,17,506
153,2123,Nonmetallic Mineral Mining and Quarrying,21,"Mining, Quarrying, and Oil and Gas Extraction","NAICS Code: 2123 - Nonmetallic Mineral Mining and Quarrying

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",497,10,507
166,2131,Support Activities for Mining,21,"Mining, Quarrying, and Oil and Gas Extraction","NAICS Code: 2131 - Support Activities for Mining

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",489,16,505
175,2211,"Electric Power Generation, Transmission and Distribution",22,Utilities,"NAICS Code: 2211 - Electric Power Generation, Transmission and Distribution

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",493,16,509
188,2212,Natural Gas Distribution ,22,Utilities,"NAICS Code: 2212 - Natural Gas Distribution 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",489,16,505
191,2213,"Water, Sewage and Other Systems ",22,Utilities,"NAICS Code: 2213 - Water, Sewage and Other Systems 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Water and Wastewater Systems Sector.",494,22,516
200,2361,Residential Building Construction,23,Construction,"NAICS Code: 2361 - Residential Building Construction

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
206,2362,Nonresidential Building Construction,23,Construction,"NAICS Code: 2362 - Nonresidential Building Construction

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Government Facilities Sector.",492,18,510
212,2371,Utility System Construction,23,Construction,"NAICS Code: 2371 - Utility System Construction

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",489,16,505
219,2372,Land Subdivision,23,Construction,"NAICS Code: 2372 - Land Subdivision

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
222,2373,"Highway, Street, and Bridge Construction",23,Construction,"NAICS Code: 2373 - Highway, Street, and Bridge Construction

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",492,17,509
225,2379,Other Heavy and Civil Engineering Construction,23,Construction,"NAICS Code: 2379 - Other Heavy and Civil Engineering Construction

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Dams Sector.",491,18,509
229,2381,"Foundation, Structure, and Building Exterior Contractors",23,Construction,"NAICS Code: 2381 - Foundation, Structure, and Building Exterior Contractors

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
246,2382,Building Equipment Contractors,23,Construction,"NAICS Code: 2382 - Building Equipment Contractors

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",489,16,505
253,2383,Building Finishing Contractors,23,Construction,"NAICS Code: 2383 - Building Finishing Contractors

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
266,2389,Other Specialty Trade Contractors,23,Construction,"NAICS Code: 2389 - Other Specialty Trade Contractors

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
273,3111,Animal Food Manufacturing,31,,"NAICS Code: 3111 - Animal Food Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",488,18,506
277,3112,Grain and Oilseed Milling,31,,"NAICS Code: 3112 - Grain and Oilseed Milling

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",496,18,514
288,3113,Sugar and Confectionery Product Manufacturing,31,,"NAICS Code: 3113 - Sugar and Confectionery Product Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",493,18,511
297,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31,,"NAICS Code: 3114 - Fruit and Vegetable Preserving and Specialty Food Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",499,18,517
305,3115,Dairy Product Manufacturing,31,,"NAICS Code: 3115 - Dairy Product Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",489,18,507
313,3116,Animal Slaughtering and Processing,31,,"NAICS Code: 3116 - Animal Slaughtering and Processing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",492,18,510
319,3117,Seafood Product Preparation and Packaging,31,,"NAICS Code: 3117 - Seafood Product Preparation and Packaging

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",494,18,512
322,3118,Bakeries and Tortilla Manufacturing,31,,"NAICS Code: 3118 - Bakeries and Tortilla Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",493,18,511
332,3119,Other Food Manufacturing,31,,"NAICS Code: 3119 - Other Food Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",488,18,506
347,3121,Beverage Manufacturing,31,,"NAICS Code: 3121 - Beverage Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",489,18,507
358,3122,Tobacco Manufacturing,31,,"NAICS Code: 3122 - Tobacco Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
362,3131,"Fiber, Yarn, and Thread Mills",31,,"NAICS Code: 3131 - Fiber, Yarn, and Thread Mills

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
365,3132,Fabric Mills,31,,"NAICS Code: 3132 - Fabric Mills

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
374,3133,Textile and Fabric Finishing and Fabric Coating Mills,31,,"NAICS Code: 3133 - Textile and Fabric Finishing and Fabric Coating Mills

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",498,10,508
380,3141,Textile Furnishings Mills,31,,"NAICS Code: 3141 - Textile Furnishings Mills

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",492,10,502
385,3149,Other Textile Product Mills,31,,"NAICS Code: 3149 - Other Textile Product Mills

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
392,3151,Apparel Knitting Mills,31,,"NAICS Code: 3151 - Apparel Knitting Mills

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",492,10,502
395,3152,Cut and Sew Apparel Manufacturing,31,,"NAICS Code: 3152 - Cut and Sew Apparel Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
400,3159,Apparel Accessories and Other Apparel Manufacturing,31,,"NAICS Code: 3159 - Apparel Accessories and Other Apparel Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
404,3161,Leather and Hide Tanning and Finishing,31,,"NAICS Code: 3161 - Leather and Hide Tanning and Finishing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
407,3162,Footwear Manufacturing,31,,"NAICS Code: 3162 - Footwear Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
410,3169,Other Leather and Allied Product Manufacturing,31,,"NAICS Code: 3169 - Other Leather and Allied Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",492,10,502
414,3211,Sawmills and Wood Preservation,32,,"NAICS Code: 3211 - Sawmills and Wood Preservation

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
418,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",32,,"NAICS Code: 3212 - Veneer, Plywood, and Engineered Wood Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",500,10,510
424,3219,Other Wood Product Manufacturing,32,,"NAICS Code: 3219 - Other Wood Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
436,3221,"Pulp, Paper, and Paperboard Mills",32,,"NAICS Code: 3221 - Pulp, Paper, and Paperboard Mills

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
443,3222,Converted Paper Product Manufacturing,32,,"NAICS Code: 3222 - Converted Paper Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
456,3231,Printing and Related Support Activities,32,,"NAICS Code: 3231 - Printing and Related Support Activities

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
464,3241,Petroleum and Coal Products Manufacturing,32,,"NAICS Code: 3241 - Petroleum and Coal Products Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",491,16,507
474,3251,Basic Chemical Manufacturing,32,,"NAICS Code: 3251 - Basic Chemical Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Chemical Sector.",488,16,504
487,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",32,,"NAICS Code: 3252 - Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Chemical Sector.",508,16,524
493,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",32,,"NAICS Code: 3253 - Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Chemical Sector.",498,16,514
501,3254,Pharmaceutical and Medicine Manufacturing,32,,"NAICS Code: 3254 - Pharmaceutical and Medicine Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",490,19,509
507,3255,"Paint, Coating, and Adhesive Manufacturing",32,,"NAICS Code: 3255 - Paint, Coating, and Adhesive Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Chemical Sector.",495,16,511
512,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",32,,"NAICS Code: 3256 - Soap, Cleaning Compound, and Toilet Preparation Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",499,10,509
519,3259,Other Chemical Product and Preparation Manufacturing,32,,"NAICS Code: 3259 - Other Chemical Product and Preparation Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Chemical Sector.",492,16,508
529,3261,Plastics Product Manufacturing,32,,"NAICS Code: 3261 - Plastics Product Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",490,17,507
548,3262,Rubber Product Manufacturing,32,,"NAICS Code: 3262 - Rubber Product Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",489,17,506
558,3271,Clay Product and Refractory Manufacturing,32,,"NAICS Code: 3271 - Clay Product and Refractory Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
563,3272,Glass and Glass Product Manufacturing,32,,"NAICS Code: 3272 - Glass and Glass Product Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",490,17,507
569,3273,Cement and Concrete Product Manufacturing,32,,"NAICS Code: 3273 - Cement and Concrete Product Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
579,3274,Lime and Gypsum Product Manufacturing,32,,"NAICS Code: 3274 - Lime and Gypsum Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
584,3279,Other Nonmetallic Mineral Product Manufacturing,32,,"NAICS Code: 3279 - Other Nonmetallic Mineral Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
593,3311,Iron and Steel Mills and Ferroalloy Manufacturing,33,,"NAICS Code: 3311 - Iron and Steel Mills and Ferroalloy Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",496,17,513
596,3312,Steel Product Manufacturing from Purchased Steel,33,,"NAICS Code: 3312 - Steel Product Manufacturing from Purchased Steel

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
602,3313,Alumina and Aluminum Production and Processing,33,,"NAICS Code: 3313 - Alumina and Aluminum Production and Processing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",494,17,511
608,3314,Nonferrous Metal (except Aluminum) Production and Processing,33,,"NAICS Code: 3314 - Nonferrous Metal (except Aluminum) Production and Processing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",498,17,515
616,3315,Foundries,33,,"NAICS Code: 3315 - Foundries

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",488,17,505
626,3321,Forging and Stamping,33,,"NAICS Code: 3321 - Forging and Stamping

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
633,3322,Cutlery and Handtool Manufacturing,33,,"NAICS Code: 3322 - Cutlery and Handtool Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
637,3323,Architectural and Structural Metals Manufacturing,33,,"NAICS Code: 3323 - Architectural and Structural Metals Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",493,17,510
646,3324,"Boiler, Tank, and Shipping Container Manufacturing",33,,"NAICS Code: 3324 - Boiler, Tank, and Shipping Container Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",496,17,513
654,3325,Hardware Manufacturing,33,,"NAICS Code: 3325 - Hardware Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",487,17,504
657,3326,Spring and Wire Product Manufacturing,33,,"NAICS Code: 3326 - Spring and Wire Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
661,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",33,,"NAICS Code: 3327 - Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",506,17,523
667,3328,"Coating, Engraving, Heat Treating, and Allied Activities",33,,"NAICS Code: 3328 - Coating, Engraving, Heat Treating, and Allied Activities

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",500,10,510
672,3329,Other Fabricated Metal Product Manufacturing,33,,"NAICS Code: 3329 - Other Fabricated Metal Product Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
686,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",33,,"NAICS Code: 3331 - Agriculture, Construction, and Mining Machinery Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",494,17,511
695,3332,Industrial Machinery Manufacturing,33,,"NAICS Code: 3332 - Industrial Machinery Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",489,17,506
701,3333,Commercial and Service Industry Machinery Manufacturing,33,,"NAICS Code: 3333 - Commercial and Service Industry Machinery Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
704,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",33,,"NAICS Code: 3334 - Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",504,10,514
709,3335,Metalworking Machinery Manufacturing,33,,"NAICS Code: 3335 - Metalworking Machinery Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
716,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",33,,"NAICS Code: 3336 - Engine, Turbine, and Power Transmission Equipment Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",497,17,514
722,3339,Other General Purpose Machinery Manufacturing,33,,"NAICS Code: 3339 - Other General Purpose Machinery Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",491,17,508
740,3341,Computer and Peripheral Equipment Manufacturing,33,,"NAICS Code: 3341 - Computer and Peripheral Equipment Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",491,17,508
745,3342,Communications Equipment Manufacturing,33,,"NAICS Code: 3342 - Communications Equipment Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Communications Sector.",488,16,504
752,3343,Audio and Video Equipment Manufacturing,33,,"NAICS Code: 3343 - Audio and Video Equipment Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
755,3344,Semiconductor and Other Electronic Component Manufacturing,33,,"NAICS Code: 3344 - Semiconductor and Other Electronic Component Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",492,17,509
763,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33,,"NAICS Code: 3345 - Navigational, Measuring, Electromedical, and Control Instruments Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",502,17,519
774,3346,Manufacturing and Reproducing Magnetic and Optical Media,33,,"NAICS Code: 3346 - Manufacturing and Reproducing Magnetic and Optical Media

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",496,17,513
778,3351,Electric Lighting Equipment Manufacturing,33,,"NAICS Code: 3351 - Electric Lighting Equipment Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",490,17,507
783,3352,Household Appliance Manufacturing,33,,"NAICS Code: 3352 - Household Appliance Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
788,3353,Electrical Equipment Manufacturing,33,,"NAICS Code: 3353 - Electrical Equipment Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",489,17,506
794,3359,Other Electrical Equipment and Component Manufacturing,33,,"NAICS Code: 3359 - Other Electrical Equipment and Component Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
807,3361,Motor Vehicle Manufacturing,33,,"NAICS Code: 3361 - Motor Vehicle Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",488,17,505
812,3362,Motor Vehicle Body and Trailer Manufacturing,33,,"NAICS Code: 3362 - Motor Vehicle Body and Trailer Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",492,17,509
818,3363,Motor Vehicle Parts Manufacturing,33,,"NAICS Code: 3363 - Motor Vehicle Parts Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",489,17,506
835,3364,Aerospace Product and Parts Manufacturing,33,,"NAICS Code: 3364 - Aerospace Product and Parts Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",491,17,508
843,3365,Railroad Rolling Stock Manufacturing,33,,"NAICS Code: 3365 - Railroad Rolling Stock Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",489,17,506
846,3366,Ship and Boat Building,33,,"NAICS Code: 3366 - Ship and Boat Building

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",490,17,507
850,3369,Other Transportation Equipment Manufacturing,33,,"NAICS Code: 3369 - Other Transportation Equipment Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",489,17,506
856,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33,,"NAICS Code: 3371 - Household and Institutional Furniture and Kitchen Cabinet Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
864,3372,Office Furniture (including Fixtures) Manufacturing,33,,"NAICS Code: 3372 - Office Furniture (including Fixtures) Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
870,3379,Other Furniture Related Product Manufacturing,33,,"NAICS Code: 3379 - Other Furniture Related Product Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
876,3391,Medical Equipment and Supplies Manufacturing,33,,"NAICS Code: 3391 - Medical Equipment and Supplies Manufacturing

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",491,19,510
883,3399,Other Miscellaneous Manufacturing,33,,"NAICS Code: 3399 - Other Miscellaneous Manufacturing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
903,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4231 - Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",501,17,518
912,4232,Furniture and Home Furnishing Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4232 - Furniture and Home Furnishing Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",499,10,509
917,4233,Lumber and Other Construction Materials Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4233 - Lumber and Other Construction Materials Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",498,10,508
926,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4234 - Professional and Commercial Equipment and Supplies Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",499,10,509
941,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4235 - Metal and Mineral (except Petroleum) Merchant Wholesalers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Critical Manufacturing Sector.",501,17,518
946,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4236 - Household Appliances and Electrical and Electronic Goods Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",504,10,514
